Month-of-Year,GREATER Chicago,Inner Loop,Logan Square,Lincoln Park,Hyde Park,Near West Side,Lake View,Near South Side,North Center,West Town,Avondale,Loop,Near North Side
Mar-1990,170,185,160,160,200,180,150,230,220,185,180,190,230
Jun-1990,170,190,160,160,200,190,150,220,230,190,180,190,240
Sep-1990,175,190,165,165,210,200,150,230,220,190,185,190,230
Dec-1990,175,190,160,165,200,190,150,220,230,190,190,185,240
Mar-1991,175,190,160,165,200,190,150,220,230,190,195,190,230
Jun-1991,175,190,165,165,200,190,150,220,225,190,190,185,240
Sep-1991,175,190,165,170,200,190,150,220,220,190,180,190,240
Dec-1991,175,190,160,165,200,200,150,220,230,190,180,180,245
Mar-1992,175,190,160,165,200,190,150,220,220,190,190,190,240
Jun-1992,175,190,160,165,200,190,150,220,230,190,200,190,245
Sep-1992,175,190,160,165,200,200,150,210,225,190,195,190,240
Dec-1992,175,190,160,165,190,210,150,210,230,190,190,200,240
Mar-1993,175,190,155,165,195,200,150,230,230,190,200,190,250
Jun-1993,175,190,155,165,200,190,150,230,230,200,190,190,250
Sep-1993,175,195,160,165,200,200,150,225,230,200,190,190,245
Dec-1993,175,200,155,160,200,210,150,227.5,230,195,200,200,250
Mar-1994,180,200,160,165,210,210,150,220,230,200,200,200,250
Jun-1994,180,200,160,170,212,220,150,240,240,200,200,200,260
Sep-1994,180,210,160,165,215,220,150,240,240,200,210,210,260
Dec-1994,180,210,160,170,210,220,155,250,250,210,210,215,280
Mar-1995,185,220,160,170,220,220,155,250,260,210,220,220,265
Jun-1995,185,220,165,175,220,222.5,160,250,260,220,220,225,280
Sep-1995,190,230,170,175,230,235,160,250,265,225,235,230,285
Dec-1995,190,230,170,180,220,250,170,250,270,230,234,250,295
Mar-1996,195,240,170,180,230,240,170,270,280,230,250,240,300
Jun-1996,200,240,175,185,230,250,170,260,280,230,245,250,290
Sep-1996,200,250,180,190,225,250,180,275,280,240,250,250,300
Dec-1996,200,250,180,185,235,260,180,280,280,245,260,260,315
Mar-1997,210,250,180,187.5,240,260,180,290,290,250,260,250,300
Jun-1997,205,250,185,190,240,272.5,185,280,295,240,260,260,320
Sep-1997,210,260,190,195,250,275,190,295,300,250,270,265,320
Dec-1997,215,260,190,195,250,280,185,310,300,260,270,270,320
Mar-1998,220,270,195,200,250,290,195,300,300,260,270,275,330
Jun-1998,220,270,190,200,255,280,190,300,310,255,280,270,335
Sep-1998,220,275,200,200,255,300,200,300,310,265,280,275,330
Dec-1998,225,280,200,200,260,300,195,300,310,270,290,285,340
Mar-1999,225,280,200,210,270,300,210,320,320,270,295,290,340
Jun-1999,230,290,210,210,270,310,210,320,325,280,300,290,350
Sep-1999,230,295,210,210,270,317.5,215,330,325,285,300,300,350
Dec-1999,240,300,215,210,285,330,220,345,340,300,320,320,385
Mar-2000,250,310,220,220,280,340,230,360,350,300,320,320,385
Jun-2000,250,320,230,230,295,350,225,350,360,310,330,320,390
Sep-2000,250,320,230,240,300,350,230,350,350,320,330,330,400
Dec-2000,260,330,250,230,300,360,235,360,350,320,340,350,395
Mar-2001,260,330,235,230,290,360,250,360,350,320,340,340,420
Jun-2001,260,330,245,230,300,360,245,360,355,320,350,350,400
Sep-2001,260,330,240,240,300,360,240,360,350,310,345,340,390
Dec-2001,265,330,240,230,298,360,250,350,340,320,340,345,395
Mar-2002,265,330,240,230,290,360,250,350,340,320,340,350,410
Jun-2002,260,325,240,230,290,370,250,350,350,315,340,350,398
Sep-2002,260,320,240,230,290,350,250,350,330,315,340,330,400
