id,latitude,longitude,elevation,country,name,state,21-Mar,21-Jun,21-Sep,21-Dec
AE000041196,25.333,55.517,34,AE,SHARJAH INTER. AIRP,,30.12702703,40.67073171,39.49302326,25.92307692
AEM00041194,25.255,55.364,10.4,AE,DUBAI INTL,,28.6173913,39.74827586,39.27037037,26.25172414
AEM00041217,24.433,54.651,26.8,AE,ABU DHABI INTL,,30.84074074,41.116,40.58275862,26.02962963
AEM00041218,24.262,55.609,264.9,AE,AL AIN INTL,,31.95833333,45.18125,41.32941176,26.56666667
AFM00040948,34.566,69.212,1791.3,AF,KABUL INTL,,16.44615385,31.875,27.7,8.925
AG000060390,36.7167,3.25,24,AG,ALGER-DAR EL BEIDA,,20.03676471,28.41486486,29.51617647,17.19577465
AG000060590,30.5667,2.8667,397,AG,EL-GOLEA,,24.98589744,40.18125,35.7,17.20253165
AG000060611,28.05,9.6331,561,AG,IN-AMENAS,,26.04230769,39.74528302,36.57758621,18.69814815
AG000060680,22.8,5.4331,1362,AG,TAMANRASSET,,26.08028169,35.6,32.67837838,21.01142857
AGE00135039,35.7297,0.65,50,AG,ORAN-HOPITAL MILITAIRE,,18.71818182,26.47142857,26.42238806,15.80769231
AGE00147704,36.97,7.79,161,AG,ANNABA-CAP DE GARDE,,19.64,27.56,29.42307692,16.69565217
AGE00147705,36.78,3.07,59,AG,ALGIERS-VILLE/UNIVERSITE,,18.38367347,26.712,27.3,15.86041667
AGE00147706,36.8,3.03,344,AG,ALGIERS-BOUZAREAH,,15.52173913,26.70833333,25.68,13.04545455
AGE00147708,36.72,4.05,222,AG,TIZI OUZOU,,19.7440678,32.36949153,31.26296296,15.05357143
AGE00147709,36.63,4.2,942,AG,FORT NATIONAL,,14.3125,25.756,25.3,10.04897959
AGE00147710,36.75,5.1,9,AG,BEJAIA-BOUGIE (PORT),,19.85789474,25.52352941,28.82777778,17.255
AGE00147711,36.3697,6.62,660,AG,CONSTANTINE,,16.82051282,28.65909091,28.44117647,11.57894737
AGE00147712,36.17,1.34,112,AG,ORLEANSVILLE (CHLEF),,19.90909091,34.02631579,31.26315789,14.21428571
AGE00147713,36.18,5.4,1081,AG,SETIF,,14.69736842,29.655,26.15277778,9.305
AGE00147714,35.77,0.8,78,AG,ORAN-CAP FALCON,,18.0125,25.25555556,26.32222222,16.28421053
AGE00147715,35.42,8.1197,863,AG,TEBESSA,,18,31.68965517,28.8,11.83870968
AGE00147716,35.1,-1.85,83,AG,NEMOURS (GHAZAOUET),,18.68412698,25.67058824,26.2953125,17.275
AGE00147717,35.2,0.63,476,AG,SIDI-BEL-ABBES,,18.70434783,31.22666667,29,14.9627907
AGE00147718,34.85,5.72,125,AG,BISKRA,,23.375,37.09620253,33.46626506,17.01081081
AGE00147719,33.7997,2.89,767,AG,LAGHOUAT,,20.23541667,34.7893617,31.52380952,13.84761905
AGE00147720,33.68,1,1320,AG,GERYVILLE (EL-BAYADH),,15.8974359,31.14634146,28.31707317,9.5
